year	lake	sites	habitat	size	sex	Microphallus
2000	Alexandrina	2ndfence	isoetes	5.2	female	0
2000	Alexandrina	2ndfence	isoetes	5.5	female	0
2000	Alexandrina	2ndfence	isoetes	4.7	female	0
2000	Alexandrina	2ndfence	isoetes	4.3	male	0
2000	Alexandrina	2ndfence	isoetes	4.2	female	0
2000	Alexandrina	2ndfence	isoetes	5.1	female	0
2000	Alexandrina	2ndfence	isoetes	5.3	female	0
2000	Alexandrina	2ndfence	isoetes	4.7	female	0
2000	Alexandrina	2ndfence	isoetes	4.6	female	0
2000	Alexandrina	2ndfence	isoetes	3.3	female	0
2000	Alexandrina	2ndfence	isoetes	4.5	female	0
2000	Alexandrina	2ndfence	isoetes	3.9	female	0
2000	Alexandrina	2ndfence	isoetes	3	female	0
2000	Alexandrina	2ndfence	isoetes	4	female	0
2000	Alexandrina	2ndfence	isoetes	4	male	0
2000	Alexandrina	2ndfence	isoetes	4.1	female	0
2000	Alexandrina	2ndfence	isoetes	4.1	male	0
2000	Alexandrina	2ndfence	isoetes	3.1	female	0
2000	Alexandrina	2ndfence	isoetes	4.3	male	0
2000	Alexandrina	2ndfence	isoetes	3.5	female	0
2000	Alexandrina	2ndfence	isoetes	3.2	female	0
2000	Alexandrina	2ndfence	isoetes	4.9	female	0
2000	Alexandrina	2ndfence	isoetes	3.5	female	0
2000	Alexandrina	2ndfence	isoetes	4.5	female	0
2000	Alexandrina	2ndfence	isoetes	5.2	female	1
2000	Alexandrina	2ndfence	isoetes	4.2	female	0
2000	Alexandrina	2ndfence	isoetes	4.5	female	0
2000	Alexandrina	2ndfence	isoetes	4.5	female	1
2000	Alexandrina	2ndfence	isoetes	4.5	female	0
2000	Alexandrina	2ndfence	isoetes	4.8	female	0
2000	Alexandrina	2ndfence	isoetes	4.2	female	0
2000	Alexandrina	2ndfence	isoetes	3.9	female	0
2000	Alexandrina	2ndfence	isoetes	5.1	female	0
2000	Alexandrina	2ndfence	isoetes	5.6	female	0
2000	Alexandrina	2ndfence	isoetes	5.4	female	1
2000	Alexandrina	2ndfence	isoetes	5	female	0
2000	Alexandrina	2ndfence	isoetes	5.8	female	0
2000	Alexandrina	2ndfence	isoetes	5.3	female	0
2000	Alexandrina	2ndfence	isoetes	5.2	female	0
2000	Alexandrina	2ndfence	isoetes	5	female	0
2000	Alexandrina	2ndfence	isoetes	3.2	female	0
2000	Alexandrina	2ndfence	isoetes	4.3	female	0
2000	Alexandrina	2ndfence	isoetes	4	female	0
2000	Alexandrina	2ndfence	isoetes	5.1	female	0
2000	Alexandrina	2ndfence	isoetes	5	female	0
2000	Alexandrina	2ndfence	isoetes	5.2	female	1
2000	Alexandrina	2ndfence	isoetes	5.2	female	0
2000	Alexandrina	2ndfence	isoetes	5	female	0
2000	Alexandrina	2ndfence	isoetes	4	male	0
2000	Alexandrina	2ndfence	isoetes	4	female	0
2000	Alexandrina	2ndfence	isoetes	4.7	male	0
2000	Alexandrina	2ndfence	isoetes	4.8	female	0
2000	Alexandrina	2ndfence	isoetes	3.2	female	0
2000	Alexandrina	2ndfence	isoetes	4.8	female	0
2000	Alexandrina	2ndfence	isoetes	4.2	female	0
2000	Alexandrina	2ndfence	isoetes	3.3	female	0
2000	Alexandrina	2ndfence	isoetes	4.5	female	0
2000	Alexandrina	2ndfence	isoetes	4.2	male	0
2000	Alexandrina	2ndfence	isoetes	3.6	female	0
2000	Alexandrina	2ndfence	isoetes	4.6	female	0
2000	Alexandrina	2ndfence	isoetes	4	female	0
2000	Alexandrina	2ndfence	isoetes	3.4	female	0
2000	Alexandrina	2ndfence	isoetes	4.2	female	0
2000	Alexandrina	2ndfence	isoetes	3.7	male	0
2000	Alexandrina	2ndfence	isoetes	4.1	female	0
2000	Alexandrina	2ndfence	isoetes	3.6	male	0
2000	Alexandrina	2ndfence	isoetes	4	female	0
2000	Alexandrina	2ndfence	isoetes	3.6	female	0
2000	Alexandrina	2ndfence	isoetes	3	female	0
2000	Alexandrina	2ndfence	isoetes	3	male	0
2000	Alexandrina	2ndfence	isoetes	3	female	0
2000	Alexandrina	2ndfence	isoetes	3.2	female	0
2000	Alexandrina	2ndfence	deep	3.8	female	0
